BON Tokyo Asakusa,"Sumida Ward, Tokyo",13 reviews,"PKR 32,756",Double Room with Extra Bed,"2 beds (1 double, 1 sofa bed)",8.5
Keio Presso Inn Gotanda,"Shinagawa Ward, Tokyo",181 reviews,"PKR 16,596",Double Room with Small Double Bed - Non-Smoking,1 single bed,8.2
Tokyo/Near Shibuya Station/Apartment,"Shibuya Ward, Tokyo",Null,"PKR 63,415",Family Room with Shower,4 double beds,Null
Keio Presso Inn Hamamatsucho,"Minato, Tokyo",608 reviews,"PKR 16,945",Standard Double Room - Non-Smoking,1 double bed,8.5
Keio Presso Inn Hamamatsucho,"Minato, Tokyo",608 reviews,"PKR 16,945",Standard Double Room - Non-Smoking,1 double bed,8.5
Smile Hotel Tokyo Nihonbashi,"Chuo Ward, Tokyo",800 reviews,"PKR 13,102",Double Room with Small Double Bed - Smoking,1 single bed,7.9
Exsasion Sugamo,"Toshima, Tokyo",3 reviews,"PKR 11,688",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 15m²,5
KOKO HOTEL Tsukiji Ginza,"Chuo Ward, Tokyo",43 reviews,"PKR 15,784",King Room,2 single beds,8.3
Casa Magnolia Kami-ochiai Apartment,Tokyo,44 reviews,"PKR 20,818",Apartment,Entire apartment • 1 bedroom • 1 bathroom • 15m²,7.5
Hotel Royal Oak Gotanda,"Shinagawa Ward, Tokyo",501 reviews,"PKR 16,176",Twin Room - Smoking,2 single beds,6.2
Hotel Metropolitan Edmont Tokyo,"Chiyoda, Tokyo",688 reviews,"PKR 17,190","Standard Room, 1 Double Bed(Small Double)",1 double bed,8.8
Keio Presso Inn Akasaka,"Minato, Tokyo",677 reviews,"PKR 17,470",Double Room - Non-Smoking ,1 double bed,8.5
Feel Asakusa Stay,"Taito, Tokyo",76 reviews,"PKR 21,515",Superior Double Room with Two Double Beds,2 double beds,9.2
Daiwa Roynet Hotel Tokyo Ariake,"Koto Ward, Tokyo","2,500 reviews","PKR 25,331",Standard Double Room,1 large double bed,8.9
K's House Tokyo Oasis - Asakusa Downtown,"Taito, Tokyo",239 reviews,"PKR 27,078",Twin Room with Private Bathroom,1 bunk bed,8.9
Tokyo Sakura Apartment,"Koto Ward, Tokyo",104 reviews,"PKR 9,899",Apartment,Entire apartment • 17m²,7.7
Sangenjaya Apartment,"Setagaya, Tokyo",111 reviews,"PKR 24,021",Apartment,Entire apartment • 1 bedroom • 1 bathroom • 15m²,6.9
obi Hostel,"Chuo Ward, Tokyo",534 reviews,"PKR 21,196",Semi Private 2 Bunk Beds in Mixed Dormitory Room (2 Adult),Shared dormitory room,8.7
Hotel Livemax Asakusa Sky Front,"Sumida Ward, Tokyo",164 reviews,"PKR 19,065",Single Room with Bathroom - Non-Smoking,1 single bed,7.2
Asakusa Tobu Hotel,"Taito, Tokyo",89 reviews,"PKR 15,140",Double Room,1 double bed,9
Oyado Kien Ryogoku,"Sumida Ward, Tokyo",5 reviews,"PKR 18,052",Twin Room with Shared Bathroom,2 single beds,9.4
HOTEL MYSTAYS Haneda,"Ota Ward, Tokyo","2,406 reviews","PKR 22,419",Standard Double Room - Non-Smoking,1 double bed,8.4
Keio Presso Inn Nihonbashi Kayabacho,"Chuo Ward, Tokyo",196 reviews,"PKR 18,168",Double Room - Smoking,1 double bed,8.1
&AND HOSTEL ASAKUSA KAPPABASHI,"Taito, Tokyo",192 reviews,"PKR 12,802",Double Room,1 double bed,8.5
Hotel Amethyst,"Toshima, Tokyo",131 reviews,"PKR 21,837",Double Room - Non-Smoking ,1 double bed,7.1
Super Hotel Premier Tokyo Station Yaesu-Chuoguchi,"Chuo Ward, Tokyo","1,080 reviews","PKR 30,572",Standard Double Room - Non-Smoking,1 double bed,8.6
Daiwa Roynet Hotel Ikebukuro Higashiguchi,"Toshima, Tokyo",121 reviews,"PKR 25,867",Standard Twin Room - Non-Smoking,2 single beds,8.4
HOTEL MYSTAYS Maihama,"Urayasu, Tokyo","2,261 reviews","PKR 22,710",Standard Twin Room,2 single beds,7.9
Keio Presso Inn Otemachi,"Chuo Ward, Tokyo",257 reviews,"PKR 21,546",Double Room - Non-Smoking ,1 large double bed,8.1
Sakura Hotel Nippori,"Bunkyo, Tokyo","1,215 reviews","PKR 16,089",Twin Room with Shared Bathroom,"2 beds (1 bunk bed, 1 sofa bed)",8.2
Hotel Livemax Akabane-Ekimae,"Kita, Tokyo",82 reviews,"PKR 33,070",Twin Room - Non-Smoking,2 single beds,8
Tobu Hotel Levant Tokyo,"Sumida Ward, Tokyo","2,037 reviews","PKR 19,217",Economy Twin Room - Non-Smoking,2 single beds,8.9
Sakura Cross Hotel Tokyo Kayabacho,"Chuo Ward, Tokyo",271 reviews,"PKR 28,961",Family Suite,"2 beds (1 double, 1 bunk bed)",9.4
Little Japan,"Taito, Tokyo",272 reviews,"PKR 15,140",Private Room with Bunk Bed and Shared Bathroom (2 Adults) ,2 bunk beds,8.4
Hotel Grand City,"Toshima, Tokyo","1,210 reviews","PKR 15,461",Double Room with Small Double Bed - Smoking,1 double bed,7.9
Hotel Gran Villa,"Toshima, Tokyo",104 reviews,"PKR 26,051",Double Room,1 large double bed,7.6
Asakusa Ryokan Toukaisou,"Taito, Tokyo",576 reviews,"PKR 16,014",Double Room with Small Double Bed,1 double bed,8.4
Hotel Emit Ueno,"Taito, Tokyo","1,561 reviews","PKR 16,887",Superior  Double Room,1 double bed,8.4
LOF HOTEL Shimbashi,"Minato, Tokyo",59 reviews,"PKR 13,332",Economy Double Room,1 large double bed,8.4
FLEXSTAY INN Shinagawa,"Shinagawa Ward, Tokyo",601 reviews,"PKR 15,140",Double Room with Small Double Bed - Non-Smoking,1 single bed,7.6
上野アーバンホテルアネックス,"Taito, Tokyo",36 reviews,"PKR 16,090",Economy Double Room,1 single bed,8.2
Toyoko Inn Tokyo Haneda Airport No.2,"Ota Ward, Tokyo",133 reviews,"PKR 26,787",Economy Double Room - Non-Smoking,1 double bed,7.7
APA Hotel Akihabaraeki-Denkigaiguchi,"Chiyoda, Tokyo","1,207 reviews","PKR 19,653",Double Room with Small Double Bed - Room Only - Smoking,1 single bed,8.4
dots. tokyo,"Taito, Tokyo",51 reviews,"PKR 28,419",Queen Bed with Living Area,"2 beds (1 sofa bed, 1 large double)",8.8
Hotel Abest Meguro,"Shinagawa Ward, Tokyo",406 reviews,"PKR 23,730",Double Room - Smoking,1 double bed,6.5
Hotel Livemax Shinjuku EAST,"Shinjuku Ward, Tokyo",258 reviews,"PKR 19,065",Twin Room - Non-Smoking,2 single beds,6.8
Smile Hotel Tokyo Asagaya,"Suginami Ward, Tokyo",772 reviews,"PKR 16,305",Small Double Room - Non-Smoking Only,1 single bed,7.5
Keio Presso Inn Higashiginza,"Chuo Ward, Tokyo",108 reviews,"PKR 16,072",Double Room - Non-Smoking ,1 double bed,7.9
FromScratch TOKYO,"Koto Ward, Tokyo",34 reviews,"PKR 9,141",Queen Room,Multiple bed types,8.2
Hotel Amanek Asakusa Ekimae,"Taito, Tokyo","2,105 reviews","PKR 13,102",Standard Double Room,1 double bed,8.3
HOTEL MYSTAYS Ochanomizu Conference Center,"Chiyoda, Tokyo","1,173 reviews","PKR 13,248",Double Room with Small Double Bed - Non Smoking,1 single bed,8.2
nestay apartment tokyo ginza,"Chuo Ward, Tokyo",12 reviews,"PKR 25,101",Triple Room,"2 beds (1 single, 1 double)",8.4
Tune Inn Tokyo Bay,"Minato, Tokyo",12 reviews,"PKR 14,292",Superior Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 26m²,7
Urbain Tokyo Haneda Kamata,"Ota Ward, Tokyo",34 reviews,"PKR 30,281",Double Room with Small Double Bed (2F-9F) - Smoking,1 single bed,8.3
Base Hanegi Apartment,"Setagaya, Tokyo",45 reviews,"PKR 28,825",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 25m²,8.2
THREE,"Shinagawa Ward, Tokyo",20 reviews,"PKR 21,515",Standard Twin Room,2 single beds,9.1
Mitsui Garden Hotel Ueno,"Taito, Tokyo","1,133 reviews","PKR 21,109",Moderate Double Room - Non-Smoking ,1 double bed,8.4
Hotel Amanek Kamata-Eki Mae,"Ota Ward, Tokyo","1,037 reviews","PKR 16,014",Standard Twin Room,2 single beds,8.3
Meitetsu Inn Hamamatsucho,"Minato, Tokyo",789 reviews,"PKR 18,052",Standard Double Room B - Non-Smoking,1 double bed,8.3
Shibuya Tokyu REI Hotel,"Shibuya Ward, Tokyo",846 reviews,"PKR 37,472",Double Room - Non-Smoking ,1 double bed,8
APA Hotel Kamataeki-Higashi,"Ota Ward, Tokyo","1,042 reviews","PKR 14,849",Double Room with Small Double Bed - Smoking,1 single bed,7.7
Super Hotel Tokyo Otsuka,"Toshima, Tokyo",285 reviews,"PKR 18,389",Double Room,1 double bed,8.6
Ours Inn Hankyu,"Shinagawa Ward, Tokyo","2,065 reviews","PKR 27,078",Economy Double Room,1 double bed,8.3
plat hostel keikyu haneda home,"Ota Ward, Tokyo",281 reviews,"PKR 7,075",Standard Twin Room with Shared Bathroom,2 bunk beds,8.6
Shinkoiwa Park Hotel,"Katsushika, Tokyo",714 reviews,"PKR 13,102",Double Room with Small Double Bed - Non-Smoking,1 single bed,7.2
Hotel JAL City Tokyo Toyosu,"Koto Ward, Tokyo",194 reviews,"PKR 22,710",Short Stay - Moderate Queen Room for 2 adults - Non-Smoking (16:00 Check in - 9:00 Check out),1 large double bed,8.6
SHINJUKU WARM HOUSE,"Shinjuku Ward, Tokyo",108 reviews,"PKR 13,639",Triple Room - Main Building,2 single beds,8.4
Hotel Horidome Villa,"Chuo Ward, Tokyo","1,615 reviews","PKR 11,646",Double Room with Small Double Bed,1 single bed,8
HOTEL MYSTAYS Kamata,"Ota Ward, Tokyo",790 reviews,"PKR 12,811",Economy Semi-Double - Non-Smoking,1 single bed,8.3
Super Hotel Tokyo Akabane Eki Minamiguchi,"Kita, Tokyo",57 reviews,"PKR 22,373",Standard Double Room,1 double bed,8.6
Hotel Lungwood,"Arakawa, Tokyo","1,219 reviews","PKR 16,596",【Renovated】Standard Double Room - Non-Smoking,1 double bed,7.9
Royal Hotel Shinokubo,"Shinjuku Ward, Tokyo","1,606 reviews","PKR 14,558",Economy Double Room - Non Smoking,1 double bed,8.4
WorldTravelersHostel UENO,"Taito, Tokyo",450 reviews,"PKR 9,605",Economy Twin Room,2 single beds,8.1
Hotel RELIEF PREMIUM Haneda,"Ota Ward, Tokyo",121 reviews,"PKR 13,696",Double Room - Non-Smoking ,1 double bed,8.4
Sakura Fleur Aoyama,"Shibuya Ward, Tokyo",223 reviews,"PKR 21,109",Standard Double Room - Non-Smoking,1 double bed,8.1
La'gent Hotel Tokyo Bay,"Urayasu, Tokyo","2,910 reviews","PKR 18,576",Economy Twin Room with Spacious Bathroom,2 single beds,8.5
Smile Hotel Tokyo Nishikasai,"Edogawa, Tokyo",184 reviews,"PKR 11,501",Standard Double Room - Non-Smoking,1 double bed,6.9
Super Hotel Tokyo JR Shinkoiwa,"Katsushika, Tokyo",220 reviews,"PKR 19,462",Special Offer - Room Selected at Check-In,1 double bed,8.2
APA Hotel Komagome Ekimae,"Toshima, Tokyo",825 reviews,"PKR 18,052",Standard Double Room,1 double bed,8.4
APA Hotel Komagome Ekimae,"Toshima, Tokyo",825 reviews,"PKR 18,052",Standard Double Room,1 double bed,8.4
Capsule Hotel Anshin Oyado Akihabara,"Chiyoda, Tokyo",332 reviews,"PKR 33,338",VIP Male Only Capsule Room 2 Capsules,2 single beds,8.6
Hotel Sting,"Taito, Tokyo",191 reviews,"PKR 26,787",Standard King Room,1 extra-large double bed,7.7
Ginza International Hotel,"Chuo Ward, Tokyo",781 reviews,"PKR 14,558",Small Double Room - Non-Smoking,1 double bed,7.7
Ueno Urban Hotel,"Taito, Tokyo","1,004 reviews","PKR 15,286",Double Room with Small Double Bed - Non-Smoking,1 single bed,8.4
HOTEL PERRIER (Adult Only),"Shinjuku Ward, Tokyo",89 reviews,"PKR 54,694",Standard Queen Room,1 large double bed,8.8
Urbain Tokyo Ueno Kitasenju,"Adachi Ward, Tokyo",545 reviews,"PKR 24,603",Double Room,1 double bed,8.3
THE TOURIST HOTEL & Cafe AKIHABARA,"Taito, Tokyo",170 reviews,"PKR 18,416",Twin Room,2 single beds,9
HOTEL MYSTAYS Nippori,"Arakawa, Tokyo",962 reviews,"PKR 13,102",Double Room with Small Double Bed - Non-Smoking,1 single bed,7.4
Hotel Empire in Shinjuku,"Shinjuku Ward, Tokyo",623 reviews,"PKR 8,735",Double Room,1 double bed,7.1
MYSTAYS Shin Urayasu Conference Center,"Urayasu, Tokyo","1,699 reviews","PKR 16,014",Double Room - Non-Smoking ,1 double bed,7.7
Pearl Hotel Shinjuku Akebonobashi,"Shinjuku Ward, Tokyo",566 reviews,"PKR 19,217",Economy Double Room,1 double bed,8.3
Oak Hotel Edo,"Koto Ward, Tokyo",158 reviews,"PKR 21,109",Twin Room with Bunk Bed and Shared Bathroom,1 bunk bed,8.1
Hotel Livemax Omori-Ekimae,"Shinagawa Ward, Tokyo",66 reviews,"PKR 19,125",Twin Room,2 single beds,6.1
karaksa hotel TOKYO STATION,"Chuo Ward, Tokyo","2,849 reviews","PKR 25,476",Room Selected at Check-In,2 single beds,8.8
Akasaka Urban Hotel Annex,"Minato, Tokyo",166 reviews,"PKR 14,558",Semi Double Room - Non-Smoking ,1 double bed,8.5
Futakotamagawa Excel Hotel Tokyu,"Setagaya, Tokyo",250 reviews,"PKR 50,784",Standard Double Room - Non-Smoking,1 double bed,8.1
Hermitage Nishi Shinjuku,"Shinjuku Ward, Tokyo",46 reviews,"PKR 28,301",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 30m²,8
Hotel Akihabara Suite,"Chiyoda, Tokyo",40 reviews,"PKR 20,963",Family Room with Balcony,"4 beds (2 doubles, 2 sofa beds)",9.4
Keikyu EX Hotel Takanawa,"Minato, Tokyo",293 reviews,"PKR 33,949",Small Double Room - Smoking,1 double bed,7.9
MIMARU TOKYO HATCHOBORI,"Chuo Ward, Tokyo",318 reviews,"PKR 78,613",Loft Bed Apartment,4 single beds,9.3
KAGO 34 by Shukuba HOTEL,"Shinagawa Ward, Tokyo",21 reviews,"PKR 62,600",Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 32m²,9.6
OYO Hotel Aurora,"Toshima, Tokyo",218 reviews,"PKR 11,064",Double Room,1 double bed,6.2
VACATION INN HEIWAJIMA I,"Ota Ward, Tokyo",46 reviews,"PKR 20,859",Studio Apartment,Entire apartment • 1 bedroom • 1 bathroom • 28m²,8.6
Villa Fontaine Grand Tokyo Ariake,"Koto Ward, Tokyo",118 reviews,"PKR 37,175",Double Room - Non-Smoking ,1 double bed,8.4
HOTEL MYSTAYS Kameido,"Koto Ward, Tokyo","1,799 reviews","PKR 12,229",Economy Semi-Double in Annex - Smoking ,1 single bed,7.2
Chisun Hotel Kamata,"Ota Ward, Tokyo",507 reviews,"PKR 14,046",Small Double Room - Smoking,1 single bed,7.9
Hotel Livemax Asakusa Eki-mae,"Taito, Tokyo",204 reviews,"PKR 11,923",Single Room - Non-Smoking,1 single bed,8
Almont Hotel Nippori,"Arakawa, Tokyo",27 reviews,"PKR 18,389",Small Double Room,1 double bed,8.4
Port House Shibuya,"Shibuya Ward, Tokyo",294 reviews,"PKR 12,763",Twin Room with Private Bathroom,2 single beds,9.1
Business Hotel Yamashiro,"Shinjuku Ward, Tokyo",785 reviews,"PKR 11,646",Japanese-Style Room,3 futon beds,7.9
Tosei Hotel Cocone Ueno,"Taito, Tokyo","1,223 reviews","PKR 13,842",Room Selected at Check-In,Shared dormitory room,8.6
Tokyo Grand Hotel,"Minato, Tokyo",478 reviews,"PKR 21,907",Economy Double Room - Smoking,1 double bed,7.7
Shibuya Excel Hotel Tokyu,"Shibuya Ward, Tokyo",937 reviews,"PKR 48,915",Double Room with Small Double Bed - Non-Smoking,1 double bed,8.5
Randor Residence Tokyo Classic,"Arakawa, Tokyo",355 reviews,"PKR 23,293",Family Room,"4 beds (2 singles, 1 double, 1 sofa bed)",7.9
Bespoke Hotel Shinjuku,"Shinjuku Ward, Tokyo","2,662 reviews","PKR 18,736",Deluxe Double Room,1 double bed,8.6
Hotel Tokyo Garden Palace,"Bunkyo, Tokyo",82 reviews,"PKR 25,499",Double Room with Small Double Bed - Non-Smoking,1 double bed,8.2
Namio Apartment 301,"Bunkyo, Tokyo",17 reviews,"PKR 25,113",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 25m²,9.2
HARMONIA東京堀切 5名定員75平米の広いCondominium,"Katsushika, Tokyo",3 reviews,"PKR 50,478",Deluxe Family Suite,Multiple bed types,10
First Cabin Shinbashi Atagoyama,"Minato, Tokyo","1,291 reviews","PKR 19,492",2 Business Class Cabins - Female,2 single beds,8.4
Voga Corte Chidoricho,"Ota Ward, Tokyo",470 reviews,"PKR 24,291",Apartment with Balcony,Entire apartment • 1 bedroom • 1 bathroom • 25m²,8.2
International Hotel Kabukicho,"Shinjuku Ward, Tokyo",840 reviews,"PKR 11,646",Double Room - Smoking,1 double bed,7.4
Tokyu Stay Gotanda,"Shinagawa Ward, Tokyo","1,071 reviews","PKR 22,536",Moderate Double Room - Non-Smoking ,1 large double bed,8.3
#Mus.Tokyo/新高円寺駅徒歩2分/新宿まで10分/新築一軒家/3階建て/商店街近く/備品完備,"Suginami Ward, Tokyo",3 reviews,"PKR 60,408",Four-Bedroom House,Entire holiday home • 4 bedrooms • 1 living room • 1 bathroom • 90m²,10
H2O Stay Morishita,"Koto Ward, Tokyo",124 reviews,"PKR 43,557",Deluxe Double Room with Two Double Beds,"2 beds (1 double, 1 sofa bed)",8.7
EX2 Kamata 103,"Ota Ward, Tokyo",3 reviews,"PKR 11,006",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom,8.7
池袋駅徒歩圏内のマンションタイプで三密回避 家具家電付きのお部屋で自炊も可能 消毒殺菌清掃,"Toshima, Tokyo",64 reviews,"PKR 8,582",Apartment with Balcony,Entire apartment • 1 bedroom • 1 bathroom • 20m²,7.6
Oyado Cocochi,"Shinjuku Ward, Tokyo","1,084 reviews","PKR 14,558",Standard Double Room - Non-Smoking,1 double bed,8
Daiichi Inn Ikebukuro,"Toshima, Tokyo",95 reviews,"PKR 14,558",Small Double Room,1 double bed,8
YuYu Otsuka,"Toshima, Tokyo",14 reviews,"PKR 30,648",Three-Bedroom Apartment,Entire apartment • 3 bedrooms • 1 living room • 1 bathroom • 65m²,8.5
Stay SAKURA Tokyo Asakusa Edo no Mai,"Taito, Tokyo",47 reviews,"PKR 32,610",Economy Twin Room,2 single beds,8.4
Shinjuku East Hotel,"Shinjuku Ward, Tokyo","1,311 reviews","PKR 15,286",Double Room - Smoking,1 double bed,7.7
toggle hotel suidobashi TOKYO,"Chiyoda, Tokyo",111 reviews,"PKR 26,971",Standard Twin Room A,2 single beds,8.8
The Green Wonderland Shinjuku,"Shinjuku Ward, Tokyo",35 reviews,"PKR 20,381",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 30m²,7.4
Hanabi Hotel,"Shinjuku Ward, Tokyo",311 reviews,"PKR 23,293",Japanese-Style Twin Room,2 futon beds,7.2
KEIKYU EX INN Haneda Innovation City,"Ota Ward, Tokyo",24 reviews,"PKR 35,399",Superior Single Room,1 single bed,8.3
Rembrandt Cabin Shinjuku Shin-Okubo,"Shinjuku Ward, Tokyo",24 reviews,"PKR 13,485",2 Capsule Rooms in Female Dormitory Room  ,Shared dormitory room,8.7
Tokyu Stay Shibuya,"Shibuya Ward, Tokyo",343 reviews,"PKR 28,184",Double Room - Smoking,1 large double bed,8.2
Hotel Livemax Ueno-Ekimae,"Taito, Tokyo",118 reviews,"PKR 15,090",Twin Room - Non-Smoking,2 single beds,7.6
Shibuya Park Residence,"Shibuya Ward, Tokyo",17 reviews,"PKR 27,951",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 25m²,9
Toyoko Inn Tokyo Ikebukuro Kita-guchi No.1,"Toshima, Tokyo",34 reviews,"PKR 25,040",Economy Double Room - Smoking,1 double bed,7.9
Cote de Tokyo,"Meguro Ward, Tokyo",Null,"PKR 17,506",Double Room with Balcony,1 double bed,Null
almond hostel & cafe Shibuya,"Shibuya Ward, Tokyo",883 reviews,"PKR 12,695",2 Bunk Beds in Mixed Dormitory Room,Shared dormitory room,8.3
Cocts Akihabara,"Taito, Tokyo",18 reviews,"PKR 12,015",Standard Queen Room,1 large double bed,9.3
Residential Hotel Bevel Tokyo,"Katsushika, Tokyo",86 reviews,"PKR 22,565",Deluxe Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 56m²,7.8
Tokyo Dome Hotel,"Bunkyo, Tokyo",901 reviews,"PKR 50,662",Double Room,1 large double bed,8.6
ESTABLISHMENT Asakusa,"Sumida Ward, Tokyo",30 reviews,"PKR 29,989",Superior Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 23m²,8.1
Hotel New Otani Tokyo EXECUTIVE HOUSE ZEN,"Chiyoda, Tokyo",44 reviews,"PKR 274,609",Standard Double Room,1 extra-large double bed,9.2
Stay SAKURA Tokyo Asakusa Yokozuna Hotel,"Taito, Tokyo",90 reviews,"PKR 32,610",Twin Room with Terrace,2 single beds,8.9
Oyado danran Asakusa,"Sumida Ward, Tokyo",13 reviews,"PKR 11,646",Triple Room with Shared Bathroom,3 futon beds,9.6
ビュロー高輪,"Minato, Tokyo",22 reviews,"PKR 21,802",Superior Double or Twin Room,"2 beds (1 double, 1 sofa bed)",8.2
GIVE Shibuya Hon-Machi,"Shibuya Ward, Tokyo",5 reviews,"PKR 33,100",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 32m²,9.6
H2O Stay Ikebukuro,"Toshima, Tokyo",89 reviews,"PKR 37,895",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 24m²,8.6
Super Hotel Premier Akihabara,"Chiyoda, Tokyo",386 reviews,"PKR 22,067",Double Room - Non-Smoking ,1 double bed,8.8
Shin Okubo Sekitei,"Shinjuku Ward, Tokyo",691 reviews,"PKR 11,646",Japanese-Style Double Bed Room Non-Smoking,1 double bed,8.5
Stay SAKURA Tokyo ASAKUSA ART DECO HOTEL,"Taito, Tokyo",44 reviews,"PKR 28,534",Superior Queen Room,1 large double bed,8.8
Tokyu Stay Yoga,"Setagaya, Tokyo",325 reviews,"PKR 32,173", Double Room - Non-Smoking,1 large double bed,8.3
Randor Residence Tokyo Suites,"Arakawa, Tokyo",527 reviews,"PKR 30,572",Superior Suite,Private suite • 1 bedroom • 1 living room • 1 bathroom • 41m²,8
Taito Ryokan,"Taito, Tokyo",179 reviews,"PKR 12,259",Japanese-Style Twin Room,2 futon beds,8.3
FLEXSTAY INN Shinurayasu,"Urayasu, Tokyo",865 reviews,"PKR 14,558",Room Selected At Check-In (2 adults) - Late Check-In 17:00 (No choice of smoking preference),Null,7.1
YOU-TRIP oshiage hotel,"Sumida Ward, Tokyo",160 reviews,"PKR 12,259",Deluxe Double Room with Bath,2 futon beds,8
bmj Hyakunincho,"Shinjuku Ward, Tokyo",14 reviews,"PKR 33,301",Economy Triple Room,"2 beds (1 single, 1 double)",9.4
Super Hotel Premier Ginza,"Chuo Ward, Tokyo",318 reviews,"PKR 22,220",Standard Double Room,1 double bed,8.8
Hotel Resol Ikebukuro,"Toshima, Tokyo",312 reviews,"PKR 21,837",Double Room with Small Double Bed - Smoking,1 double bed,8.4
Laffitte Tokyo,"Nakano, Tokyo",6 reviews,"PKR 25,622",Economy Triple Room,"2 beds (1 single, 1 sofa bed)",7.7
sunshine house,"Toshima, Tokyo",Null,"PKR 22,067",Double Room with Private Bathroom,2 single beds,Null
Tokyu Stay Shimbashi,"Minato, Tokyo",769 reviews,"PKR 19,566",Cozy Double Room - Smoking,1 double bed,8.4
Focus Kuramae,"Taito, Tokyo","1,337 reviews","PKR 12,049",Double Room - Female Only ,1 double bed,8.4
HOTEL TAVINOS ASAKUSA,"Taito, Tokyo",66 reviews,"PKR 15,516",Double Room,1 double bed,8
Port House Hatsudai,"Shibuya Ward, Tokyo",68 reviews,"PKR 10,646",Double Room,1 double bed,8.8
Pearl Hotel Yaesu,"Chuo Ward, Tokyo","1,075 reviews","PKR 19,939",Single Room (2 adults) - Special Offer,1 single bed,7.4
VACATION INN KAMATA I,"Ota Ward, Tokyo",34 reviews,"PKR 20,672",Standard Apartment,Entire apartment • 1 bedroom • 1 bathroom • 25m²,8.4
Hotel Route-Inn Tokyo Asagaya,"Suginami Ward, Tokyo",51 reviews,"PKR 34,066",Double Room - Smoking,1 double bed,7.5
Okachimachi Urban Hotel,"Chiyoda, Tokyo",656 reviews,"PKR 15,577",Semi Double Room,1 single bed,8.7
SHINJUKU GLOBAL HOTEL,"Shinjuku Ward, Tokyo",362 reviews,"PKR 13,102",Deluxe Triple Room,"2 beds (1 single, 1 double)",7.8
Enzo Tokyo,"Suginami Ward, Tokyo",148 reviews,"PKR 6,068",Quadruple Room with Private Bathroom,4 single beds,8.1
Rumah Bagus Asakusa,"Sumida Ward, Tokyo",31 reviews,"PKR 34,939",Holiday Home,Entire holiday home • 2 bedrooms • 1 bathroom • 85m²,8.6
Stay SAKURA Tokyo Asakusa Townhouse,"Taito, Tokyo",56 reviews,"PKR 60,124",Deluxe Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 46m²,8.7
Shibuya Granbell Hotel,"Shibuya Ward, Tokyo","1,078 reviews","PKR 30,648",Double Room - Smoking,1 double bed,8
Hotel Livemax Tokyo Ayase-Ekimae,"Adachi Ward, Tokyo",130 reviews,"PKR 13,005",Single Room - Non-Smoking,1 single bed,8.1
Qualia Jinnan flat,"Shibuya Ward, Tokyo",7 reviews,"PKR 41,490",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 40m²,7.7
APA Hotel Nihombashi Bakurocho Ekimae,"Chuo Ward, Tokyo","1,270 reviews","PKR 15,140",Double Room - Non-Smoking ,1 double bed,8.5
ZLL-2dong,Tokyo,Null,"PKR 20,841",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 25m²,Null
"The Prince Sakura Tower Tokyo, Autograph Collection","Minato, Tokyo",128 reviews,"PKR 122,379",Deluxe King Room (Non-Smoking)+ Sauna Access,1 extra-large double bed,8.9
Super Hotel Ueno-Okachimachi,"Taito, Tokyo",516 reviews,"PKR 19,308",Standard Double Room - Non-Smoking,1 double bed,8.6
Tama Ryokan,"Shinjuku Ward, Tokyo",290 reviews,"PKR 9,899",Budget Double Room with Shared Bathroom,1 futon bed,8.3
FLEXSTAY INN Iidabashi,"Shinjuku Ward, Tokyo",740 reviews,"PKR 14,267",Standard Double Room - Non-Smoking,1 double bed,7.3
Tosei Hotel Cocone Asakusa Kuramae,"Taito, Tokyo",47 reviews,"PKR 12,170",Standard Double Room,1 double bed,8.9
THE KANZASHI TOKYO ASAKUSA,"Taito, Tokyo",30 reviews,"PKR 15,171",Double Room,1 double bed,9
FLEXSTAY INN Ekoda,"Nerima Ward, Tokyo",467 reviews,"PKR 25,040",Superior Double Room with Small Double Bed - Lower Floor - Non-Smoking,1 single bed,6.9
The Royal Park Canvas - Ginza 8,"Chuo Ward, Tokyo","1,054 reviews","PKR 30,135",Standard King Room,1 extra-large double bed,8.8
桜水湾,"Sumida Ward, Tokyo",5 reviews,"PKR 47,168",Apartment,Entire apartment • 4 bedrooms • 1 living room • 1 bathroom • 89m²,9
Toyoko Inn Tokyo Haneda Airport No.1,"Ota Ward, Tokyo",14 reviews,"PKR 26,787",Economy Double Room - Non-Smoking,1 double bed,7.4
